id,state,region,chapter,delta_type,villain_name,status_change,role_change,key_event,new_relationships,replaced_by,notes
karnataka,Karnataka,south,2,catalyst-rise-and-fall,Bhoomi-Takshaka,deceased,Restoration Architect (public face — not attacker),Re-emerged as the dignified public leader of the Imperial Restorationist faction; published The Restoration Charter; convinced ~40% of Karnataka; was the catalyst for Tungabhadra's flaw to become public. Died inside the buried-temple sublevel three chamber alongside Tungabhadra; the demolition charges she had rigged caught her too and she chose to stay.,Twin sister of Krishnadevaraya-Bhrata (now hero); cousin to Tungabhadra (also deceased); — no surviving Restorationist successor with her stature,—,"In Chapter One she was the 'dark mirror' shadow-villain who animated stone through corrupted serpent-craft. Was never destroyed. In Chapter Two she is the principal catalyst — but she is publicly respected, not feared. The cousins die together in the same chamber, neither killing the other. Mirror-pair sealed."
goa,Goa,west,2,catalyst-rise-and-fall,Maha-Vega,deceased,Heritage Liaison — foreign-fleet uniformed officer,"Returned from a Lisbon naval port wearing a multinational fleet's white-and-gold uniform; introduced as the fleet's 'Goan-born Cultural Heritage Liaison.' Triggered the Old Fishermen's grievance by his presence on the foreign flagship and by his recruitment offer to Sagaradeva (the 'come with us under their flag' speech). Killed by Sagaradeva in the storm — first trident-strike opened his storm-form at the shoulder, second pinned the man inside at the throat. Body recovered at Sinquerim two hundred metres south of Sagaradeva's. Buried by Sona Tendulkar in the same coastal grove.",Sagaradeva's storm-cursed half-brother (Bloodline E); allied with Admiral Carvalho-Almeida and the multinational fleet; rejected by Padre Cordeiro after Cordeiro's resignation,—,"The most sympathetic catalyst-villain in Chapter Two. He genuinely believed joining the foreign fleet would protect Goa more than refusing it would. Karna-mapped (right deed wrong banner). His brass shoulder-pieces are placed at the grove's entrance after burial — a public marker of what was put down. Padre Cordeiro is the closest he ever came to having a friend on the consortium side; Cordeiro resigns the same morning Maha-Vega is buried."
goa,Goa,west,2,structural-antagonist,Admiral Carvalho-Almeida,deceased,Foreign Flagship Commander,"Commanded the multinational 'Heritage Naval Exchange' fleet at Mormugao Bay. Authorised the fleet's fifteen-month overstay. Ordered deck-gun fire and missile launches at Sagaradeva's outrigger during the storm; the cyclone deflected both back onto the flagship. Died on the flagship's bridge giving an unfinished order when the ship broke at the keel on the rocks below Aguada Fort.",Multinational fleet command; port consortium liaison; press corps handlers,—,Structural antagonist rather than mirror-villain. No animal-bond. No bloodline-claim. Represents the modern colonial-corporate face that the saga's animal-bond-rules cannot route around — he must be defeated by storm and not by trident-equality. Karna-shadow of a different kind: a man following orders that he wrote himself.
maharashtra,Maharashtra,west,2,catalyst-survives,Vanaraksha,alive,The Petitioner — Elder-Law Litigant,"Files a 132-page primogeniture petition at the Maharashtra Heritage Court on day 1 of the chapter, citing four legal frameworks and seventeen exhibits — the cleanest succession claim in the court's post-1947 history. Does not raise an army. Peak fort-count at 24 of 47 (week 4). Mid-chapter secretly turns the Murud-Janjira coastal commander Dattaji Mohite; the defection seizes the island-cemetery holding Shivagati's elder cousin Bhausaheb-the-First's grave. Publishes a 34-page scholar's report arguing the gaur-bond is invalid because Shivagati is not coastal-line direct heir. Final fort-count at chapter end: 20 of 47 — still alive, still filing, the Heritage Court has not yet ruled.",Elder brother to Shivagati (same parents); Adv. Kelkar is his lead counsel; University of Pune Bloodline-E law department supplies academic backing; Dattaji Mohite at Murud-Janjira is his secret mid-chapter convert; the Mumbai mercantile circles fund the petition's legal costs,—,"The Bhoomi-Takshaka mirror: same Bloodline as Shivagati, same kingdom, same animal-line, same grievance (technically rightful but living through a sister who has the better claim). Survives Ch 2 because his weapon is paperwork. Per restructure §4 he kills Shivagati in Ch 3 in a duel he himself does not want — Maharashtra absorbed under Gujarat (Simhavikrama) afterward. Tanaji-the-Second holds Maharashtra as Gujarat's loyal vassal in Ch 3."
maharashtra,Maharashtra,west,2,secret-defector,Dattaji Mohite,alive,Murud-Janjira Coastal Fort Commander → Vanaraksha's Agent,"Was Shivagati's father's man and her trusted ally throughout Ch 1 and the first three weeks of Ch 2. Filed a defection notice at the Heritage Court at 8:15 a.m. on a Tuesday in week 4; by 8:30 a public statement endorsing Vanaraksha; by 9:00 had barred Shivagati's supply boats from the harbour. By noon had seized the small island-cemetery on the fort's landward side where Bhausaheb-the-First is buried, declaring it 'property of the heritage estate.' Survives Ch 2 holding the fort and the cemetery.",Was sworn to Shivagati's father; secretly turned by Vanaraksha years ago — a long planted operative; commands Murud-Janjira's small island-garrison and its supply lanes,—,The personal-betrayal antagonist for Maharashtra. Less ideological than Vanaraksha. More wounding. Per the Ch 3 plan he is killed by Tanaji-the-Second during the post-Shivagati transition when the cemetery is recovered.
uttar-pradesh,Uttar Pradesh,north,2,catalyst-survives,Adharma,alive,The Uncle-Kingmaker — Banaras Public Claimant,"Located Yamunadatta in Vrindavan before Gangaputra knew the boy existed (a private investigator Adharma had paid since Ch 1). Made the public elder-bloodline declaration at Dasaswamedh Ghat in Banaras 48 hours after Radhika's arrival in Lucknow — three hundred boats present, two national news-channels filing within the hour. Won the Banaras Pundit Council and eight more dharmic councils within a fortnight. Filed the regency-counter-writ at the Imambara — denied on its merits by Mahaguru Drona-of-the-Plain's straight testimony. Survives Ch 2 in Banaras drafting the next writ.",Bloodline-B half-brother to Gangaputra (same father, different mother); uncle to Yamunadatta (the boy has explicitly refused political alignment with him); allied publicly with Banaras Religious Order and Mahaguru Drona-of-the-Plain (until Drona reversed at the Imambara); secretly receives counsel from Adharma-Kendra of MP (his maternal cousin — they coordinate across the central-north fault line of Bloodline-B),—,"The Bhoomi-Takshaka/Vanaraksha mirror: the catalyst who returns dignified, not violent. The most strategically brilliant of the three — his argument (elder-bloodline) is internally consistent AND true. Defeated at the Imambara by Gangaputra acknowledging the boy AND abdicating — Adharma was prepared for one of those moves, not both. Per restructure §4 he will pursue Drona-of-the-Plain into MP's Ch 2 civil war alongside Adharma-Kendra (the two villains coordinate across the Bloodline-B fault). He survives into Ch 3 and 4 as the chief North-dissenter; will accept a council seat at Yamunadatta's Unity Trial in Ch 3 — the boy will accept his uncle and complete Stage III through that act."
madhya-pradesh,Madhya Pradesh,central,2,catalyst-exposed-flees,Adharma-Kendra,alive,The Thirteenth Voice / Neutral Senior Counsellor,"Returned to the MP Twelve-Court Assembly in week four of the famine as a neutral senior dharmic counsellor invited by three of the chief justices. Granted abstain-only voting privileges across all twelve courts. Never voted once. Weaponised neutrality — every court cited his caution to justify further deliberation. Engineered the seven-week deadlock that killed 47,000 people. Argued against Sutrakara's mortality-arithmetic motion (10-1 vote, his abstention the procedural cover). Exposed at the dissolution assembly by Drona-of-the-Plain's testimony including bank records, photographs, and a handwritten coordination memorandum in his own hand. Three chief justices (Patwardhan-ji included) confirmed the handwriting. Fled the assembly chamber through the side-door during the testimony. Surfaced briefly in the Bhopal old quarter (Taj-ul-Masajid area) and then in Sehore village three days later. Disappeared. Survives Ch 2 intact.",Maternal uncle of Gangaputra (UP) and Dvadashashringa (MP) both — Mahabharata-Shakuni position in the Bloodline-B family; coordinates with Adharma of Banaras (his maternal cousin) across the Bloodline-B fault — proven by Drona's documentary evidence; funded by the same Singapore-routed account that funded Karnataka Restoration Charter publication and Mormugao port consortium lobby budget — first confirmed villain-network coordination in the saga; pursued Mahaguru Drona-of-the-Plain south from Lucknow,—,"The saga's most strategically dangerous villain at chapter end. The catalyst who used abstention as a weapon. The first cross-kingdom-coordinated villain confirmed by documentary evidence. Per the relationship-graph he will resurface in Ch 3 as the senior advisor to the Central-Dissenters faction that refuses the new emergency-court system; will pursue Drona-of-the-Plain further into Ch 4. His MP defeat is procedural-only — his physical body is still at large, his Singapore funding network is intact, and his coordination with Adharma of Banaras is now an open conspiracy across two Bloodline-B kingdoms."
assam,Assam,northeast,2,catalyst-integrated,Kama-Mara,alive,The Open Coven High Priestess → Co-High Priestess of Kamakhya,"After her Ch 1 banishment built the Open Coven at the Saraighat ferry clearing — three hundred practitioners over ten years. Taught partial-rite fragments that the Temple Order would not perform. Women died from incomplete cycles, including Kamalavarna's adoptive mother Bhairavi-Naam. Met Kamalavarna at the ferry clearing after the matriarch's death — first contact in 14 years. Met their shared mother Bhairavi-Aaee for the first time. Performed the Mahavidya rite with Kamalavarna at the new moon. Earned Stage III mirror-mark — first formal bond-mark of her life (her Ch 1 dark-cult alignment was bond-adjacent only). Became co-High Priestess of Kamakhya alongside her newly-revealed half-sister. The first villain in Chapter Two to be neither killed nor exiled but INTEGRATED.",Half-sister to Kamalavarna (same mother Bhairavi-Aaee, different fathers); biological daughter to Bhairavi-Aaee (wandering ascetic) and a Tibetan-Buddhist tantric scholar (deceased when Kama-Mara was 16); was rejected from Kamakhya temple at 16 on a procedural ground because no one knew the third-sister lineage; senior coven women Tara-priya and 11 others travel with her into the new arrangement; mirror-bond partner to Kamalavarna,—,"The saga's first integrated catalyst-villain. The argument she carried (the suppression is killing women) was correct. The methods she used (partial rites without senior supervision) were dangerous. Both problems are solved by the integration. Carries the mirror-mark of the rhinoceros foreleg, left-clavicle horn, identical to Kamalavarna's but mirror-position. Her Stage I and II were skipped — the bond compressed them into the rite-moment for the 'preparing partner' per the mirror-bond saga-rule. Will be co-High Priestess into Ch 3 and Ch 4; will sit at the cosmic seat alongside Kamalavarna at the Sanctuary; both will hold the seat together."
meghalaya,Meghalaya,northeast,2,catalyst-mutual-kill,Megha-Daitya,deceased,The Patrilineal Claimant Prince,"Returned in autumn of Ch 2's year as a Mumbai tribal-law-firm partner with a 247-page brief. Filed 47 coordinated patrilineal-claim petitions in the Meghalaya High Court within four weeks. Engineered the half-brother killing of Ka-Sngi at Nongriat bridge in week 3. After Meghanadi's settlement passed in week 7, organised 23 of the most radical petitioners into an armed storm-faction with submachine guns sourced through a Mumbai-Mizoram channel. Attacked the High Court compound at 9:47 a.m. during monsoon's heaviest week. Faced Meghanadi alone in the courtyard at 10:15 a.m. Refused her withdrawal-offer. Fired four shots into her chest at metre 18 of her charge. Died at metre 22 with the Megha-Dand through his sternum.",Half-Khasi (mother Ka-Lewdoh-the-Elder, deceased 2003) and Assamese (father Hiren Kalita, Guwahati coal contractor); allied with the Mumbai tribal-law firm Karkare-Mehta-Joshi; cross-coordination with Adharma of Banaras and Adharma-Kendra of MP (Singapore funding line — same villain-network confirmed by Drona's MP testimony); organised 23 storm-fighters of whom 11 are captured, 9 caught fleeing, 2 escape into the hills,—,"The saga's first villain to die in a MUTUAL KILL with the hero. His legal argument was internally consistent; his violent method made the argument impossible to honour. He carried his mother's Khasi-marriage photograph on his person — the only personal item the rain did not reach during the courtyard charge. His Mumbai law firm's role in the wider villain-network is documented by Drona-of-the-Plain's evidence-satchel. His half-brother Kong-Bah (the petitioner who pushed Ka-Sngi off the bridge) survives Ch 2 and is captured at the High Court in the storm-faction's defeat — he becomes a key state-evidence witness in the Ch 3 investigation of the villain-network's Singapore funding."
meghalaya,Meghalaya,northeast,2,sub-killer,Kong-Bah,alive-captured,The Half-Brother Who Pushed Ka-Sngi,"Petitioner #11 on Megha-Daitya's coordinated docket. Half-brother to Ka-Sngi by their shared mother's first marriage. Pushed Ka-Sngi off the Nongriat double-decker living root bridge at 5:47 a.m. on a Sunday morning in week 3. The 62-metre fall killed her. The killing was investigated by Mawkhanu police as an accidental fall on slippery monsoon root-surface. Kong-Bah walked free. Joined Megha-Daitya's storm-faction in week 6. Captured in the docket-room at the High Court at 10:24 a.m. by under-clerk U-Banjop after the courtyard mutual kill.",Half-brother to Ka-Sngi; junior associate of Megha-Daitya's coordinated petitioner-group; will be a state-evidence witness in the Ch 3 villain-network investigation,—,"The personal-betrayal antagonist for Meghalaya. The killer of Ka-Sngi. Captured alive — survives Ch 2 in detention. Will testify in Ch 3 about the Singapore funding-line, the Mumbai law firm, and the Mizoram weapons channel, providing evidentiary continuity between Drona-of-the-Plain's MP evidence and the wider villain-network investigation."
